Driver,Team,AUS,BHR,CHN,AZE,ESP,MON,CAN,FRA,AUT,GBR,GER,HUN,BEL,ITA,SIN,RUS,JPN,MEX,USA,BRA,ABU
Lewis Hamilton,Mercedes,2,1,1,2,1F,1,1,1,5,1F,9,1,2,3F,4,1F,3F,1,2,7,1F
Valtteri Bottas,Mercedes,1F,2,2,1,2,3,4F,2,3,2,RET,8,3,2,5,2,1,3,1,RETF,4
Max Verstappen,Red Bull,3,4,4,4,3,4,5,4,1F,5,1F,2F,RET,8,3,4,RET,6,3,1,2
Charles Leclerc,Ferrari,5,3F,5,5F,5,RET,3,3,2,3,RET,4,1,1,2,3,6,4F,4F,18,3
Sebastian Vettel,Ferrari,4,5,3,3,4,2,2,5F,4,16,2,3,4F,13,1,RET,2,2,RET,17,5
Carlos Sainz Jr,McLaren,RET,19,14,7,8,6,11,6,8,6,5,5,RET,RET,12,6,5,13,8,3,10
Pierre Gasly,Red Bull,11,8,6F,RET,6,5F,8,10,7,4,14,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pierre Gasly,Toro Rosso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,11,8,14,7,9,16,2,18
Alexander Albon,Toro Rosso,14,9,10,11,11,8,RET,15,15,12,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alexander Albon,Red Bull,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,5,4,5,5,14,6
Daniel Ricciardo,Renault,RET,18,7,RET,12,9,6,11,12,7,RET,14,14,4,14,RET,DSQ,8,6,6,11
Sergio Pérez,Racing Point,13,10,8,6,15,12,12,12,11,17,RET,11,6,7,RET,7,8,7,10,9,7
Lando Norris,McLaren,12,6,18,8,RET,11,RET,9,6,11,RET,9,11,10,7,8,11,RET,7,8,8
Kimi Räikkönen,Alfa Romeo,8,7,9,10,14,17,15,7,9,8,12,7,16,15,RET,13,12,RET,11,4,13
Daniil Kvyat,Toro Rosso,10,12,RET,RET,9,7,10,14,17,9,3,15,7,RET,15,12,10,11,12,10,9
Nico Hülkenberg,Renault,7,17,RET,14,13,13,7,8,13,10,RET,12,8,5,9,10,DSQ,10,9,15,12
Lance Stroll,Racing Point,9,14,12,9,RET,16,9,13,14,13,4,17,10,12,13,11,9,12,13,19,RET
Kevin Magnussen,Haas,6,13,13,13,7,14,17,17,19,RET,8,13,12,RET,17F,9,15,15,18,11,14
Antonio Giovinazzi,Alfa Romeo,15,11,15,12,16,19,13,16,10,RET,13,18,18,9,10,15,14,14,14,5,16
Romain Grosjean,Haas,RET,RET,11,RET,10,10,14,RET,16,RET,7,RET,13,16,11,RET,13,17,15,13,15
Robert Kubica,Williams,17,16,17,16,18,18,18,18,20,15,10,19,17,17,16,RET,17,18,RET,16,19
George Russell,Williams,16,15,16,15,17,15,16,19,18,14,11,16,15,14,RET,RET,16,16,17,12,17
